Ticker,Allocation,Sharpe Ratio,Sortino Ratio,CAGR,Expected Return,Stdev
AVGO,8.00%,1.28,2.09,41.29%,47.39%,29.64%
HD,8.00%,0.57,0.90,13.13%,16.43%,24.51%
JPM,8.00%,0.55,0.83,14.16%,19.31%,30.09%
TXN,8.00%,0.85,1.39,22.06%,26.02%,25.92%
ABBV,3.20%,0.42,0.74,10.34%,15.64%,31.83%
FCPT,1.60%,0.28,0.38,4.94%,10.86%,31.99%
STOR,8.00%,0.46,0.64,11.31%,23.43%,43.28%
CTRE,8.00%,0.50,0.74,12.84%,19.05%,32.71%
NSA,8.00%,0.91,1.54,17.85%,19.80%,18.57%
O,1.60%,0.30,0.37,5.53%,9.73%,26.67%
APAM,8.00%,0.76,1.28,28.66%,40.76%,43.93%
MSM,1.60%,0.38,0.63,8.88%,14.21%,32.01%
COR,1.60%,0.31,0.45,6.13%,9.33%,24.69%
DTE,1.60%,0.32,0.42,5.82%,7.87%,19.53%
NTAP,1.60%,-0.13,-0.18,-9.30%,-3.36%,36.11%
SAFT,1.60%,-0.18,-0.25,-4.23%,-2.34%,19.98%
IRM,1.60%,0.32,0.46,6.46%,10.29%,26.85%
JEPIX,5.00%,0.45,0.61,7.00%,8.09%,14.39%
BLOK,5.00%,1.23,2.78,46.93%,55.10%,35.16%
SCHD,10.00%,0.70,1.08,14.17%,16.36%,19.95%